Nombor Trip,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Tanjung Malim,5:45,,6:40,7:00,,7:30,7:50,,,9:00,,,10:37,11:05,,,12:35,13:22,14:02,,,15:50,,,17:05,,18:18,,,,21:10,21:40,
K Kubu Bharu,6:00,,6:55,7:15,,7:45,8:05,,,9:15,,,10:52,11:20,,,12:50,13:37,14:17,,,16:05,,,17:20,,18:33,,,,21:25,21:55,
Rasa,6:06,,7:01,7:21,,7:51,8:11,,,9:21,,,10:58,11:26,,,12:56,13:43,14:23,,,16:11,,,17:26,,18:39,,,,21:31,22:01,
Batang Kali,6:10,,7:05,7:25,,7:55,8:15,,,9:25,,,11:02,11:30,,,13:00,13:47,14:27,,,16:15,,,17:30,,18:43,,,,21:35,22:05,
Serendah,6:19,,7:14,7:34,,8:04,8:24,,,9:34,,,11:11,11:39,,,13:09,13:56,14:36,,,16:24,,,17:39,,18:52,,,,21:44,22:14,
Rawang,6:29,,7:24,7:44,,8:14,8:46,,,9:50,,,11:21,11:49,,,13:19,14:06,14:46,,,16:34,,,17:49,,19:02,,,,21:54,22:24,
Kuang,6:39,,7:34,7:54,,8:24,8:56,,,10:01,,,11:41,11:59,,,13:29,14:16,14:56,,,16:44,,,17:59,,19:12,,,,22:04,22:34,
Sungai Buloh,6:49,,7:44,8:04,,8:34,9:05,,,10:10,,,11:50,12:09,,,13:39,14:25,15:05,,,16:53,,,18:08,,19:21,,,,22:13,22:43,
Kepong Sentral,6:59,,7:54,8:14,,8:44,,,,,,,,12:19,,,13:49,,,,,,,,,,,,,,,,
Kepong,7:02,,7:57,8:25,,8:47,,,,,,,,12:22,,,13:57,,,,,,,,,,,,,,,,
Segambut,7:07,,8:02,8:29,,8:52,,,,,,,,12:27,,,14:02,,,,,,,,,,,,,,,,
Sentul,,7:40,,,,,,,,,,,,,,,,,,,,,,17:35,,18:35,,,,,,,
Putra,7:14,7:45,8:09,8:36,,8:59,,,,,,,,12:34,,,14:09,,,,,,,17:40,,18:40,,,,,,,
Bank Negara,7:18,7:49,8:13,8:40,,9:03,,,,,,,,12:38,,,14:13,,,,,,,17:44,,18:44,,,,,,,
Kuala Lumpur,7:23,7:54,8:18,8:45,,9:08,,,,,,,,12:43,,,14:18,,,,,,,17:49,,18:49,,,,,,,
KL Sentral,7:30,8:00,8:24,8:49,9:00,9:12,,9:32,9:58,,10:40,11:40,,12:47,12:50,14:05,14:22,,,15:05,16:05,,17:00,17:55,,18:55,,20:00,20:50,21:50,,,22:55
Abdullah Hukum,7:36,8:06,8:31,,9:06,,,9:38,10:06,,10:46,11:46,,,12:56,14:11,,,,15:11,16:11,,17:06,18:01,,19:01,,20:06,20:56,21:56,,,23:01
Angkasapuri,7:39,8:09,8:34,,9:09,,,9:41,10:09,,10:49,11:49,,,12:59,14:14,,,,15:14,16:14,,17:09,18:04,,19:04,,20:09,20:59,21:59,,,23:04
Pantai Dalam,7:41,8:11,8:36,,9:11,,,9:43,10:11,,10:51,11:51,,,13:01,14:16,,,,15:16,16:16,,17:11,18:06,,19:06,,20:11,21:01,22:01,,,23:06
Petaling,7:44,8:14,8:39,,9:14,,,9:46,10:14,,10:54,11:54,,,13:04,14:19,,,,15:19,16:19,,17:14,18:09,,19:09,,20:14,21:04,22:04,,,23:09
Jalan Templer,7:46,8:16,8:41,,9:16,,,9:48,10:16,,10:56,11:56,,,13:06,14:21,,,,15:21,16:21,,17:16,18:11,,19:11,,20:16,21:06,22:06,,,23:11
