Bilangan Tren,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Pulau Sebang,4:42,,5:34,5:40,6:10,6:42,,,,,,11:15,,,,,,,,,18:20,,
Rembau,4:59,,5:50,5:57,6:27,6:59,,,,,,11:32,,,,,,,,,18:37,,
Sungai Gadut,5:12,5:47,6:03,6:10,6:40,7:12,7:40,8:10,8:50,9:45,10:55,11:45,12:55,13:55,14:55,15:55,16:25,,17:15,18:15,18:50,19:50,21:00
Senawang,5:17,5:52,6:09,6:15,6:45,7:17,7:45,8:15,8:55,9:50,11:00,11:50,13:00,14:00,15:00,16:00,16:30,,17:20,18:20,18:55,19:55,21:05
Seremban,5:23,5:58,6:15,6:21,6:51,7:23,7:51,8:21,9:01,9:56,11:06,11:56,13:06,14:06,15:06,16:06,16:37,,17:26,18:26,19:01,20:01,21:11
Tiroi,5:31,6:06,,6:29,6:59,7:31,7:59,8:29,9:09,10:04,11:14,12:04,13:14,14:14,15:14,16:14,16:44,,17:34,18:34,19:09,20:09,21:19
Labu,5:37,6:12,,6:35,7:05,7:37,8:05,8:35,9:15,10:10,11:20,12:10,13:20,14:20,15:20,16:20,16:50,,17:40,18:40,19:15,20:15,21:25
Nilai,5:47,6:22,6:38,6:45,7:15,7:47,8:15,8:45,9:25,10:20,11:30,12:20,13:30,14:30,15:30,16:30,17:01,,17:50,18:50,19:25,20:25,21:35
Batang Benar,5:53,6:28,,6:51,7:21,7:53,8:21,8:51,9:31,10:26,11:36,12:26,13:36,14:36,15:36,16:36,17:06,,17:56,18:56,19:31,20:31,21:41
Bangi,6:06,6:41,,7:04,7:34,8:06,8:34,9:04,9:44,10:39,11:49,12:39,13:49,14:49,15:49,16:49,17:19,,18:09,19:09,19:44,20:44,21:54
UKM,6:12,6:47,,7:10,7:40,8:12,8:40,9:10,9:50,10:45,11:55,12:45,13:55,14:55,15:55,16:55,17:25,,18:15,19:15,19:50,20:50,22:00
Kajang,6:19,6:53,7:05,7:16,7:46,8:18,8:51,9:23,9:56,10:56,12:01,13:05,14:04,15:04,16:04,17:03,17:32,,18:30,19:21,19:56,20:56,22:06
Serdang,6:32,7:05,,7:28,7:58,8:30,9:03,9:35,10:08,11:08,12:13,13:16,14:16,15:16,16:16,17:14,,,18:42,19:41,20:08,21:08,22:18
Bandar Tasek Selatan,6:39,7:12,7:24,7:35,8:05,8:37,9:10,9:42,10:15,11:15,12:20,13:23,14:23,15:23,16:23,17:21,,,18:49,19:48,20:15,21:15,22:25
Salak Selatan,6:50,7:18,,7:41,8:16,8:47,9:19,9:52,,11:21,12:31,13:30,14:29,15:29,16:29,17:28,,,,19:54,20:21,21:21,22:31
Seputeh,6:55,7:23,,7:46,8:21,8:52,9:24,9:57,10:26,11:26,12:36,13:35,14:34,15:34,16:34,17:33,,,19:00,19:59,20:26,21:26,22:36
MidValley,6:58,7:26,,7:49,8:25,8:54,9:26,9:59,10:28,11:29,12:38,13:37,14:37,15:37,16:37,17:35,,,19:03,20:02,20:29,21:32,22:39
KL Sentral,7:05,7:35,7:45,7:58,8:32,9:01,9:34,10:06,10:35,11:36,12:45,13:44,14:44,15:44,16:44,17:42,,18:25,19:10,20:12,20:36,21:45,22:53
Kuala Lumpur,7:10,7:46,7:50,8:03,8:37,9:06,9:39,10:11,10:39,11:41,12:57,13:49,14:48,15:48,16:49,17:46,,18:30,19:15,20:17,20:41,21:50,22:58
Bank Negara,7:15,7:51,7:55,8:08,8:42,9:11,9:44,10:16,10:43,11:46,13:02,13:54,14:52,15:53,16:54,17:50,,18:34,19:20,20:22,20:46,21:55,23:03
Putra,7:18,7:54,7:58,8:11,8:45,9:15,9:48,10:20,10:47,11:49,13:06,13:58,14:55,15:56,16:57,17:54,,18:38,19:23,20:25,20:49,21:58,23:06
Sentul,7:26,8:02,8:05,8:19,8:53,9:23,9:56,10:28,10:55,11:57,13:14,14:06,15:03,16:04,17:05,18:02,,18:44,19:31,20:33,20:57,22:06,23:14
Batu Kentonmen,7:30,8:06,,8:23,8:57,9:27,10:00,10:32,10:59,12:01,13:18,14:10,15:07,16:08,17:09,18:06,,18:47,19:35,20:37,21:01,22:10,23:18
Kampung Batu,7:32,8:08,,8:25,8:59,9:29,10:02,10:34,11:01,12:03,13:20,14:12,15:09,16:10,17:11,18:08,,18:49,19:37,20:39,21:03,22:12,23:20
Taman Wahyu,7:35,8:11,,8:28,9:02,9:31,10:04,10:36,11:03,12:06,13:22,14:14,15:12,16:13,17:14,18:10,,18:52,19:40,20:42,21:06,22:15,23:23
Batu Caves,7:39,8:15,,8:32,9:06,9:35,10:08,10:40,11:07,12:10,13:26,14:18,15:16,16:17,17:18,18:14,,18:56,19:44,20:46,21:10,22:19,23:27
