train,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Pulau Sebang,4:42,,5:30,5:37,6:05,6:42,,,,,,,11:23,,,,,,16:54,,,,
Rembau,4:59,,5:46,5:54,6:22,6:59,,,,,,,11:40,,,,,,17:11,,,,
Sungai Gadut,5:12,5:34,5:59,6:07,6:35,7:12,7:45,,,9:50,,11:05,11:53,,13:38,14:43,15:37,,17:24,,,19:50,20:50
Senawang,5:17,5:39,6:05,6:12,6:40,7:17,7:50,,,9:55,,11:10,11:59,,13:43,14:48,15:42,,17:29,,,19:55,20:55
Seremban,5:23,5:45,6:11,6:18,6:46,7:23,7:56,,,10:01,,11:16,12:05,,13:49,14:54,15:48,,17:35,,,20:01,21:01
Tiroi,5:31,5:53,,6:26,6:54,7:31,8:04,,,10:09,,11:24,12:13,,13:57,15:02,15:56,,17:43,,,20:09,21:09
Labu,5:37,5:59,,6:32,7:05,7:37,8:10,,,10:15,,11:35,12:19,,14:08,15:08,16:07,,17:49,,,20:15,21:15
Nilai,5:47,6:09,6:34,6:42,7:15,7:47,8:20,,,10:25,,11:45,12:29,,14:18,15:18,16:17,,17:59,,,20:25,21:25
Batang Benar,5:53,6:15,,6:51,7:21,7:53,8:26,,,10:31,,11:51,12:35,,14:24,15:24,16:23,,18:05,,,20:31,21:31
Bangi,6:06,6:28,,7:04,7:34,8:06,8:39,9:11,,10:44,11:49,12:04,12:53,13:52,14:52,15:52,16:51,,18:18,19:17,19:44,20:44,21:54
UKM,6:12,6:34,,7:10,7:40,8:12,8:45,9:17,,10:50,11:55,12:10,12:59,13:58,14:58,15:58,16:57,,18:24,19:23,19:50,20:50,22:00
Kajang 2,6:15,6:37,,7:13,7:43,8:15,8:48,9:20,,10:53,11:58,12:13,13:01,14:01,15:01,16:01,16:59,,18:27,19:26,19:53,20:53,22:03
Kajang,6:19,6:53,7:05,7:16,7:46,8:18,8:51,9:23,9:56,10:56,12:01,12:15,13:05,14:04,15:04,16:04,17:03,,18:30,19:29,19:56,20:56,22:06
Serdang,6:32,7:05,,7:28,7:58,8:30,9:03,9:35,10:08,11:08,12:13,,13:16,14:16,15:16,16:16,17:14,,18:42,19:41,20:08,21:08,22:18
Bandar Tasek Selatan,6:39,7:12,7:24,7:35,8:05,8:37,9:10,9:42,10:15,11:15,12:20,,13:23,14:23,15:23,16:23,17:21,,18:49,19:48,20:15,21:15,22:25
Salak Selatan,6:45,7:18,,7:41,8:11,8:43,9:16,9:48,10:21,11:21,12:31,,13:30,14:29,15:29,16:29,17:28,,18:55,19:54,20:21,21:21,22:31
Seputeh,6:50,7:23,,7:46,8:16,8:48,9:21,9:53,10:26,11:26,12:36,,13:35,14:34,15:34,16:34,17:33,,19:00,19:59,20:26,21:26,22:36
MidValley,6:53,7:26,,7:49,8:19,8:51,9:24,9:56,10:28,11:29,12:38,,13:37,14:37,15:37,16:37,17:35,,19:03,20:02,20:29,21:32,22:39
KL Sentral,7:00,7:35,7:45,7:58,8:27,9:02,9:35,10:11,10:35,11:36,12:45,,13:44,14:44,15:44,16:44,17:47,18:25,19:10,20:12,20:36,21:45,22:53
Kuala Lumpur,7:13,7:46,7:50,8:22,8:52,9:27,9:59,10:30,10:39,11:41,12:57,,13:49,14:48,15:48,16:49,17:58,18:32,19:15,20:22,20:41,21:50,22:58
Bank Negara,7:18,7:51,7:55,8:27,8:57,9:32,10:04,10:35,10:43,11:46,13:02,,13:54,14:52,15:53,16:54,18:03,18:36,19:20,20:27,20:46,21:55,23:03
Putra,7:21,7:54,7:58,8:30,9:00,9:35,10:07,10:38,10:47,11:49,13:06,,13:58,14:55,15:56,16:57,18:06,18:40,19:23,20:30,20:49,21:58,23:06
Sentul,7:29,8:02,8:05,8:38,9:08,9:43,10:15,10:46,10:55,11:57,13:14,,14:06,15:03,16:04,17:05,18:14,18:46,19:31,20:38,20:57,22:06,23:14
Batu Kentonmen,7:33,8:06,,8:42,9:12,9:47,10:19,10:50,10:59,12:01,13:18,,14:10,15:07,16:08,17:09,18:18,18:49,19:35,20:42,21:01,22:10,23:18
Kampung Batu,7:35,8:08,,8:44,9:14,9:49,10:21,10:52,11:01,12:03,13:20,,14:12,15:09,16:10,17:11,18:20,18:51,19:37,20:44,21:03,22:12,23:20
Taman Wahyu,7:38,8:11,,8:47,9:17,9:52,10:24,10:55,11:03,12:06,13:22,,14:14,15:12,16:13,17:14,18:23,18:54,19:40,20:47,21:06,22:15,23:23
Batu Caves,7:42,8:15,,8:51,9:21,9:56,10:28,10:59,11:07,12:10,13:26,,14:18,15:16,16:17,17:18,18:27,18:58,19:44,20:51,21:10,22:19,23:27
