train,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Tanjung Malim,,5:35,,,6:30,7:05,7:35,,8:10,,,9:15,,10:15,,,11:15,12:15,,,13:20,14:20,,,15:15,,,16:20,16:50,,17:55,,,18:30,19:10,,20:00,,21:00,,21:55
K Kubu Bharu,,5:50,,,6:45,7:20,7:50,,8:25,,,9:30,,10:30,,,11:30,12:30,,,13:35,14:35,,,15:30,,,16:35,17:05,,18:10,,,18:45,19:25,,20:15,,21:15,,22:10
Rasa,,5:56,,,6:51,7:26,7:56,,8:31,,,9:36,,10:36,,,11:36,12:36,,,13:41,14:41,,,15:36,,,16:41,17:11,,18:16,,,18:51,19:31,,20:21,,21:21,,22:16
Batang Kali,,6:00,,,6:55,7:30,8:00,,8:35,,,9:40,,10:40,,,11:40,12:40,,,13:45,14:45,,,15:40,,,16:45,17:15,,18:20,,,18:55,19:35,,20:25,,21:25,,22:20
Serendah,,6:09,,,7:04,7:39,8:09,,8:44,,,9:49,,10:49,,,11:49,12:49,,,13:54,14:54,,,15:49,,,16:54,17:24,,18:29,,,19:04,19:44,,20:34,,21:34,,22:29
Rawang,,6:19,,,7:14,7:49,8:19,,8:54,,,9:59,,10:59,,,11:59,12:59,,,14:04,15:04,,,15:59,,,17:04,17:34,,18:39,,,19:14,19:54,,20:44,,21:44,,22:39
Kuang,,6:29,,,7:24,7:59,8:29,,9:04,,,10:09,,11:09,,,12:09,13:09,,,14:14,15:14,,,16:09,,,17:14,17:44,,18:49,,,19:24,20:04,,20:59,,21:54,,22:49
Sungai Buloh,,6:38,,,7:34,8:08,8:38,,9:13,,,10:18,,11:18,,,12:19,13:18,,,14:24,15:23,,,16:19,,,17:24,17:53,,18:58,,,19:34,20:13,,21:08,,22:03,,22:58
Kepong Sentral,,,,,7:44,,,,,,,,,,,,12:29,,,,14:34,,,,16:29,,,17:34,,,,,,19:44,,,,,,,
Kepong,,,,,7:47,,,,,,,,,,,,12:32,,,,14:37,,,,16:32,,,17:37,,,,,,19:47,,,,,,,
Segambut,,,,,7:52,,,,,,,,,,,,12:37,,,,14:42,,,,16:37,,,17:42,,,,,,19:52,,,,,,,
Sentul,5:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putra,5:36,,,,7:59,,,,,,,,,,,,12:44,,,,14:49,,,,16:44,,,17:49,,,,,,19:59,,,,,,,
Bank Negara,5:39,,,,8:03,,,,,,,,,,,,12:48,,,,14:53,,,,16:48,,,17:53,,,,,,20:03,,,,,,,
Kuala Lumpur,5:44,,,,8:08,,,,,,,,,,,,12:53,,,,14:58,,,,16:53,,,18:00,,,,,,20:08,,,,,,,
KL Sentral,5:50,,7:10,8:00,8:12,,,8:40,,9:25,10:10,,10:55,,11:40,12:40,12:57,,13:40,14:40,15:02,,15:40,16:40,16:57,17:20,18:05,18:06,,18:45,,19:25,20:05,20:12,,20:45,,21:45,,22:50,
Abdullah Hukum,5:56,,7:16,8:06,,,,8:46,,9:31,10:16,,11:01,,11:46,12:46,,,13:46,14:46,,,15:46,16:46,,17:26,18:11,,,18:51,,19:31,20:11,,,20:51,,21:51,,22:56,
Angkasapuri,5:59,,7:19,8:09,,,,8:49,,9:34,10:19,,11:04,,11:49,12:49,,,13:49,14:49,,,15:49,16:49,,17:29,18:14,,,18:54,,19:34,20:14,,,20:54,,21:54,,22:59,
Pantai Dalam,6:01,,7:21,8:11,,,,8:51,,9:36,10:21,,11:06,,11:51,12:51,,,13:51,14:51,,,15:51,16:51,,17:31,18:16,,,18:56,,19:36,20:16,,,20:56,,21:56,,23:01,
Petaling,6:04,,7:24,8:14,,,,8:54,,9:39,10:24,,11:09,,11:54,12:54,,,13:54,14:54,,,15:54,16:54,,17:34,18:19,,,18:59,,19:39,20:19,,,20:59,,21:59,,23:04,
Jalan Templer,6:06,,7:26,8:16,,,,8:56,,9:41,10:26,,11:11,,11:56,12:56,,,13:56,14:56,,,15:56,16:56,,17:36,18:21,,,19:01,,19:41,20:21,,,21:01,,22:01,,23:06,
Kg Dato Harun,6:12,,7:32,8:22,,,,9:02,,9:47,10:32,,11:17,,12:02,13:02,,,14:02,15:02,,,16:02,17:02,,17:42,18:27,,,19:07,,19:47,20:27,,,21:07,,22:07,,23:12,
Seri Setia,6:14,,7:34,8:24,,,,9:04,,9:49,10:34,,11:19,,12:04,13:04,,,14:04,15:04,,,16:04,17:04,,17:44,18:29,,,19:09,,19:49,20:29,,,21:09,,22:09,,23:14,
Setia Jaya,6:17,,7:37,8:27,,,,9:07,,9:52,10:37,,11:22,,12:07,13:07,,,14:07,15:07,,,16:07,17:07,,17:47,18:32,,,19:12,,19:52,20:32,,,21:12,,22:12,,23:17,
Subang Jaya,6:25,,7:45,8:35,,,,9:15,,10:00,10:45,,11:30,,12:15,13:15,,,14:15,15:15,,,16:15,17:15,,17:55,18:40,,,19:20,,20:00,20:40,,,21:20,,22:20,,23:25,
Batu Tiga,6:33,,7:53,8:43,,,,9:23,,10:08,10:53,,11:38,,12:23,13:23,,,14:23,15:23,,,16:23,17:23,,18:03,18:48,,,19:28,,20:08,20:48,,,21:28,,22:28,,23:33,
Shah Alam,6:39,,7:59,8:49,,,,9:29,,10:14,10:59,,11:44,,12:29,13:29,,,14:29,15:29,,,16:29,17:29,,18:09,18:54,,,19:34,,20:14,20:54,,,21:34,,22:34,,23:39,
