train,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Batu Caves,,6:00,6:40,7:18,7:55,8:25,9:00,9:32,10:03,11:00,12:05,13:05,14:05,15:05,16:05,17:15,,17:31,18:05,18:36,19:55,21:00,22:10
Taman Wahyu,,6:04,6:44,7:22,7:59,8:29,9:04,9:36,10:07,11:04,12:09,13:09,14:09,15:09,16:09,17:19,,17:35,18:09,18:40,19:59,21:04,22:14
Kampung Batu,,6:07,6:47,7:25,8:02,8:32,9:07,9:39,10:10,11:07,12:12,13:12,14:12,15:12,16:12,17:22,,17:38,18:12,18:43,20:02,21:07,22:17
Batu Kentonmen,,6:09,6:49,7:27,8:04,8:34,9:09,9:41,10:12,11:09,12:14,13:14,14:14,15:14,16:14,17:24,,17:40,18:14,18:45,20:04,21:09,22:19
Sentul,5:12,6:13,6:53,7:31,8:08,8:38,9:13,9:45,10:16,11:13,12:18,13:18,14:18,15:18,16:18,17:28,17:38,17:44,18:18,18:49,20:08,21:13,22:23
Putra,5:18,6:19,6:59,7:37,8:14,8:44,9:19,9:51,10:22,11:19,12:24,13:24,14:24,15:24,16:24,17:34,17:44,17:50,18:24,18:55,20:14,21:19,22:29
Bank Negara,5:21,6:22,7:02,7:40,8:17,8:47,9:22,9:54,10:25,11:22,12:27,13:27,14:27,15:27,16:27,17:37,17:49,17:53,18:27,18:58,20:17,21:22,22:32
Kuala Lumpur,5:26,6:27,7:07,7:50,8:22,8:57,9:29,9:59,10:30,11:27,12:32,13:32,14:32,15:32,16:32,17:42,17:54,17:58,18:32,19:03,20:27,21:35,22:37
KL Sentral,5:32,6:33,7:18,7:57,8:31,9:03,9:35,10:05,10:36,11:35,12:44,13:44,14:43,15:43,16:43,17:48,18:00,18:08,18:38,19:09,20:35,21:41,22:45
MidValley,5:39,6:40,7:35,8:05,8:38,9:10,9:42,10:18,10:43,11:42,12:51,13:51,14:50,15:50,16:50,17:55,,18:15,18:49,19:16,20:42,21:48,22:52
Seputeh,5:41,6:42,7:37,8:07,8:40,9:12,9:44,10:20,10:45,11:44,12:53,13:53,14:52,15:52,16:52,17:57,,18:17,18:51,19:18,20:44,21:50,22:54
Salak Selatan,5:47,6:48,7:43,8:13,8:46,9:18,9:50,10:26,10:51,11:50,12:59,13:59,14:58,15:58,16:58,18:03,,18:23,18:57,19:24,20:50,21:56,23:00
Bandar Tasek Selatan,5:54,6:55,7:50,8:20,8:53,9:25,9:57,10:33,10:58,11:57,13:06,14:06,15:05,16:05,17:05,18:10,18:19,18:30,19:04,19:31,20:57,22:03,23:07
Serdang,6:02,7:03,7:58,8:28,9:01,9:33,10:05,10:41,11:06,12:05,13:14,14:14,15:13,16:13,17:13,18:18,,18:38,19:12,19:39,21:05,22:11,23:15
Kajang,6:14,7:15,8:10,8:40,9:13,9:44,10:17,10:53,11:18,12:30,13:26,14:26,15:25,16:25,17:25,18:30,18:40,18:54,19:24,19:51,21:17,22:23,23:27
Kajang 2,6:17,7:18,8:13,8:43,9:16,,10:20,10:56,11:21,12:33,13:29,14:29,15:28,16:28,17:28,18:33,,18:57,19:27,19:54,21:20,22:26,23:30
UKM,6:20,7:21,8:16,8:46,9:19,,10:23,10:59,11:24,12:36,13:32,14:32,15:31,16:31,17:31,18:36,,19:00,19:30,19:57,21:23,22:29,23:33
Bangi,6:29,7:35,8:24,8:54,9:47,,10:31,11:07,11:32,12:49,13:40,14:40,15:39,16:39,17:40,18:44,,19:10,19:39,20:06,21:46,22:37,23:41
Batang Benar,6:41,7:47,,9:07,10:00,,,11:20,,13:02,13:53,,15:52,,17:52,18:57,,19:23,19:52,20:18,21:59,22:50,23:54
Nilai,6:55,8:01,,9:13,10:06,,,11:26,,13:08,13:59,,15:58,,18:12,19:03,19:15,19:29,19:58,20:38,22:05,22:56,0:00
Labu,7:02,8:13,,9:25,10:18,,,11:33,,13:15,14:06,,16:05,,18:19,19:10,,19:36,20:17,20:45,22:12,23:03,0:07
Tiroi,7:08,8:19,,9:31,10:24,,,11:39,,13:21,14:12,,16:11,,18:25,19:16,,19:42,20:23,20:51,22:18,23:09,0:13
Seremban,7:16,8:27,,9:39,10:32,,,11:47,,13:29,14:20,,16:19,,18:33,19:24,19:36,19:50,20:31,20:59,22:26,23:17,0:21
Senawang,7:22,8:32,,9:44,10:37,,,11:53,,13:34,14:26,,16:24,,18:38,19:30,19:41,19:56,20:36,21:04,22:32,23:23,0:27
Sungai Gadut,7:27,8:37,,9:50,10:42,,,11:58,,13:39,14:31,,16:30,,18:44,19:35,19:47,20:01,20:42,21:09,22:37,23:28,0:32
Rembau,7:40,,,10:03,,,,,,,,,16:43,,18:56,19:48,19:59,20:14,20:54,,,,
Pulau Sebang,7:56,,,10:19,,,,,,,,,16:59,,19:13,20:04,20:16,20:30,21:11,,,,
