train,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Batu Caves,6:20,6:50,7:40,8:15,9:35,10:40,12:00,13:05,14:27,15:27,16:20,17:33,18:32,19:42,20:52,22:10
Taman Wahyu,6:24,6:54,7:44,8:19,9:39,10:44,12:04,13:09,14:31,15:31,16:24,17:37,18:36,19:46,20:56,22:14
Kampung Batu,6:27,6:57,7:47,8:22,9:42,10:47,12:07,13:12,14:34,15:34,16:27,17:40,18:39,19:49,20:59,22:17
Batu Kentonmen,6:29,6:59,7:49,8:24,9:44,10:49,12:09,13:14,14:36,15:36,16:29,17:42,18:41,19:51,21:01,22:19
Sentul,6:33,7:03,7:53,8:28,9:48,10:53,12:13,13:18,14:40,15:40,16:33,17:46,18:45,19:55,21:05,22:23
Putra,6:39,7:09,7:59,8:34,9:54,10:59,12:19,13:24,14:46,15:46,16:39,17:52,18:51,20:01,21:11,22:29
Bank Negara,6:42,7:12,8:02,8:37,9:57,11:02,12:22,13:27,14:49,15:49,16:42,17:55,18:54,20:04,21:14,22:32
Kuala Lumpur,6:47,7:17,8:07,8:42,10:07,11:07,12:27,13:32,14:54,15:54,16:47,18:00,18:59,20:09,21:19,22:37
KL Sentral,6:53,7:21,8:15,8:51,10:13,11:13,12:46,13:46,15:00,16:00,16:58,18:06,19:05,20:15,21:25,22:43
MidValley,7:00,,8:25,8:58,10:20,11:20,12:53,13:53,15:07,16:07,17:05,18:13,19:12,20:22,21:32,22:50
Seputeh,7:02,,8:27,9:00,10:22,11:22,12:55,13:55,15:09,16:09,17:07,18:15,19:14,20:24,21:34,22:52
Salak Selatan,7:08,,8:33,9:06,10:28,11:28,13:01,14:01,15:15,16:15,17:13,18:21,19:20,20:30,21:40,22:58
Bandar Tasek Selatan,7:15,,8:40,9:13,10:35,11:35,13:08,14:08,15:22,16:22,17:20,18:28,19:27,20:37,21:47,23:05
Serdang,7:23,,8:48,9:21,10:43,11:43,13:16,14:16,15:30,16:30,17:28,18:36,19:35,20:45,21:55,23:13
Kajang,7:36,,9:00,9:33,10:55,11:55,13:28,14:28,15:42,16:42,17:40,18:48,19:47,20:57,22:07,23:25
Kajang 2,7:39,,9:03,9:36,10:58,11:58,13:31,14:31,15:45,16:45,17:43,18:51,19:50,21:00,22:10,23:28
UKM,7:42,,9:06,9:39,11:01,12:01,13:34,14:34,15:48,16:48,17:46,18:54,19:53,21:03,22:13,23:31
Bangi,7:50,,9:19,10:08,11:09,12:15,13:42,15:13,15:56,17:09,17:54,19:02,20:01,21:12,22:21,23:39
Batang Benar,8:03,,9:38,10:21,11:22,12:27,13:55,15:26,16:09,17:21,18:07,,20:14,21:24,22:34,23:52
Nilai,8:09,,9:44,10:27,11:28,12:49,14:01,15:32,16:15,17:43,18:13,,20:20,21:46,22:40,23:58
Labu,8:16,,9:51,10:38,11:35,12:56,14:08,15:39,16:42,17:50,18:20,,20:27,21:53,22:55,0:05
Tiroi,8:22,,9:57,10:44,11:41,13:02,14:14,15:45,16:48,17:56,18:26,,20:33,21:59,23:01,0:11
Seremban,8:30,,10:05,10:52,11:49,13:10,14:22,15:53,16:56,18:04,18:34,,20:41,22:07,23:09,0:19
Senawang,8:36,,10:11,10:57,11:55,13:15,14:28,15:58,17:02,18:09,18:40,,20:47,22:12,23:14,0:25
Sungai Gadut,8:41,,10:16,11:02,12:00,13:20,14:33,16:03,17:07,18:14,18:45,,20:52,22:17,23:19,0:30
Rembau,,,10:29,,,,,,17:20,,,,21:05,,,
Pulau Sebang,,,10:45,,,,,,17:36,,,,21:21,,,
